id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzAwMjMwNzM5MA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwMjgyNzU2NA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwMzcwMjUzMQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNDA4MzI0OQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNDAzNTg2Nw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNDExMzA1Nw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNDIxMjk0Nw==,40,73,72,92,82,0.493827160494,0.71568627451,0.631578947368,0.754098360656,0.725663716814
MzAwNDYxNjgyOQ==,0,0,0,0,2,0.0,0.0,0.0,0.0,0.166666666667
MzAwNDk3ODY4OA==,0,0,37,61,68,0.0,0.0,0.513888888889,0.648936170213,0.519083969466
MzAwNTAzMjcwMw==,137,110,77,132,184,0.561475409836,0.547263681592,0.616,0.705882352941,0.96335078534
MzAwNTE1NzQ3NA==,0,2,9,13,14,0.0,0.222222222222,1.0,1.0,0.7
MzAwNTI3MDc3Mw==,0,0,0,3,8,0.0,0.0,0.0,0.428571428571,0.8
MzAwNTI3NDgzMg==,1,24,5,9,6,0.00265957446809,0.167832167832,0.0153846153846,0.025,0.0163043478261
MzAwNTIwOTkyOA==,15,20,31,22,7,0.882352941176,0.952380952381,0.911764705882,0.6875,0.7
MzAwNTMxNTc3NQ==,0,34,66,47,35,0.0,1.0,0.970588235294,1.0,1.0
MzAwNTY3MTI4Mg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNjEzNzIzMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNjIyNTYyMw==,33,39,5,1,0,0.66,0.438202247191,0.106382978723,0.00793650793651,0.0
MzAwNjIzMTU4NA==,4,2,15,22,27,0.0588235294118,0.0124223602484,0.067264573991,0.0785714285714,0.0780346820809
MzAwNjQ3NDM5OQ==,48,55,66,65,112,0.571428571429,0.808823529412,0.640776699029,0.691489361702,0.647398843931
MzAwNjQ4MjY5Mg==,0,0,0,45,32,0.0,0.0,0.0,0.436893203883,0.4
MzAwNjU0NDI0OQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNjY3MzU5MQ==,0,16,12,9,10,0.0,0.842105263158,1.0,1.0,1.0
MzAwNzAwMjUyOA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwNzM0NDgzMg==,114,231,267,253,275,0.292307692308,0.470468431772,0.551652892562,0.588372093023,0.721784776903
MzAwNzM5OTI0MA==,24,76,57,49,63,0.923076923077,0.962025316456,0.98275862069,0.960784313725,0.984375
MzAwODA0Njc4NA==,0,0,0,5,0,0.0,0.0,0.0,1.0,0.0
MzAwODEzNzk5MQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwODM3NjkyNQ==,0,0,0,0,3,0.0,0.0,0.0,0.0,0.1
MzAwODMxMzU5NQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwODQ3NjM5Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwOTA4NTAxOA==,0,0,2,41,43,0.0,0.0,0.0136054421769,0.280821917808,0.272151898734
MzAwOTMzMDc0NQ==,0,4,0,2,23,0.0,0.0253164556962,0.0,0.111111111111,0.154362416107
MzAxMDY5NTUzNQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxMTMyNTU3OA==,0,1,1,0,10,0.0,0.00267379679144,0.00244498777506,0.0,0.0186219739292
MzAxMjExODg3MQ==,0,2,4,3,0,0.0,0.0246913580247,0.0408163265306,0.032967032967,0.0
MzAxMjEzODQzMg==,19,26,31,40,37,0.441860465116,0.393939393939,0.508196721311,0.666666666667,0.685185185185
MzAxMjYyMTYwNQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxMzUyOTg4OQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxNDAyNTUyMA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxNDEwMDY1Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxNDExNjY1MA==,0,0,2,0,0,0.0,0.0,0.00342465753425,0.0,0.0
MzAxNjY2OTI4NA==,0,0,0,2,0,0.0,0.0,0.0,0.2,0.0
MzAxNjcyOTI5NQ==,0,36,50,57,52,0.0,0.923076923077,0.961538461538,0.76,0.565217391304
MzAxNzI0NDU1OQ==,251,324,334,233,213,0.709039548023,0.928366762178,0.954285714286,0.954918032787,0.995327102804
MzAxNzgwNDcxMQ==,0,34,15,3,2,0.0,0.68,1.0,0.75,1.0
MzAxODA1OTk3MQ==,25,9,3,2,6,0.531914893617,0.214285714286,0.0681818181818,0.0444444444444,0.127659574468
MzAxODA2NjI4OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxODAxODMzMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxODEzNzQ0OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxOTE4NDE4Mg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAxOTMzMjQxNA==,56,67,71,81,75,0.589473684211,0.582608695652,0.633928571429,0.53642384106,0.5
MzAxOTQxMzk3OA==,4,0,13,78,70,0.046511627907,0.0,0.118181818182,0.655462184874,0.636363636364
MzI0MTEzNjUyMQ==,0,19,23,22,16,0.0,0.5,0.69696969697,0.88,0.666666666667
MzI0MjE4ODYwMg==,0,66,249,231,221,0.0,0.653465346535,0.988095238095,0.982978723404,0.995495495495
MzI0MjM5MjA0Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI0MzAwOTUyNA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI0NDMzMDEzMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
